Restricted Area Detection,"Event alert, Object counting","Event alert, Object counting","Event alert, Object counting","Event alert, Object counting","Event alert, Object counting","Event alert, Object counting","Event alert, Object counting",,"Event alert, Object counting","Event alert, Object counting","Event alert, Object counting","Event alert, Object counting","Event alert, Object counting"
Cross Line Detection,"Event alert, Object counting","Event alert, Object counting","Event alert, Object counting","Event alert, Object counting","Event alert, Object counting","Event alert, Object counting","Event alert, Object counting",,"Event alert, Object counting","Event alert, Object counting","Event alert, Object counting","Event alert, Object counting","Event alert, Object counting"
Person Attribute Detection,-,-,-,-,-,-,-,,History search,History search,History search,History search,History search
Vehicle Attribute Detection,-,-,-,-,-,-,-,,History search,History search,History search,History search,History search
Facial Recognition,-,-,-,-,"History search, Search by Photo, Target alert, Tracking Timeline","History search, Search by Photo, Target alert, Tracking Timeline","Hisotry search, Search by Photo, Target alert, Tracking Timeline",,-,-,-,-,-
License Plate Recognition,-,-,-,-,-,-,-,,-,-,-,-,-
Audio Recognition,-,-,-,-,-,-,-,,Event alert,Event alert,Event alert,Event alert,Event alert
EnGenius Cloud AI,Support,Support,Support,Support,Support,Support,Support,,Support,Support,Support,Support,Support
Storage,,,,,,,,,,,,,
Storage Size,256GB on board,64GB on board,256GB on board,64GB on board,512GB on board,-,512GB on board,,256GB MicroSD card,256GB MicroSD card,256GB MicroSD card,256GB MicroSD card,256GB MicroSD card
Retention Method,"24/7 seamless, Auto Recycling","24/7 seamless, Auto Recycling","24/7 seamless, Auto Recycling","24/7 seamless, Auto Recycling","24/7 seamless, Auto Recycling","24/7 seamless, Auto Recycling for external storage","24/7 seamless, Auto Recycling",,"24/7 seamless, Auto Recycling","24/7 seamless, Auto Recycling","24/7 seamless, Auto Recycling","24/7 seamless, Auto Recycling","24/7 seamless, Auto Recycling"
Retention Days,"Based on video quality and bitrate: 18 days (768kbps), 14 days (1.5Mbps), 7 days (2Mbps)","Based on video quality and bitrate: 5 days (768kbps), 3 days (1.5Mbps), 2 days (2Mbps)","Based on video quality and bitrate: 18 days (768kbps), 14 days (1.5Mbps), 7 days (2Mbps)","Based on video quality and bitrate: 5 days (768kbps), 3 days (1.5Mbps), 2 days (2Mbps)",30 days,-,30 days,,30 days,30 days,30 days,30 days,30 days
Recording Encryption,-,-,-,-,AES256,AES256,AES256 and TPM,,-,-,-,-,-
Storage Redundancy,Support EnGenius NVS and Cloud storage,Support EnGenius NVS and Cloud storage,Support EnGenius NVS and Cloud storage,Support EnGenius NVS and Cloud storage,Support EnGenius NVS and Cloud storage,Support EnGenius NVS and Cloud storage,Support EnGenius NVS and Cloud storage,,Support EnGenius NVS and Cloud storage,Support EnGenius NVS and Cloud storage,Support EnGenius NVS and Cloud storage,Support EnGenius NVS and Cloud storage,Support EnGenius NVS and Cloud storage
System,,,,,,,,,,,,,
LED Indicator,System power and status indicator,System power and status indicator,System power and status indicator,System power and status indicator,System power and status indicator,System power and status indicator,System power and status indicator,,System power and status indicator (internal),System power and status indicator (internal),System power and status indicator (internal),System power and status indicator (internal),System power and status indicator (internal)
RTSP,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,Supported,Supported,Supported,Supported,Supported
Reset Button,Internal,Internal,External line,External line,Internal,Internal,Internal,,,,,,
Networking Interface,10/100 MbE RJ45 port,10/100 MbE RJ45 port,10/100 MbE RJ45 port,10/100 MbE RJ45 port,10/100/1000 MbE RJ45 port,10/100/1000 MbE RJ45 port,10/100/1000 MbE RJ45 port,,10/100 MbE RJ45 port,10/100 MbE RJ45 port,10/100 MbE RJ45 port,10/100 MbE RJ45 port,10/100 MbE RJ45 port
Power Method,PoE 802.3af Class 3,PoE 802.3af Class 3,PoE 802.3af Class 3,PoE 802.3af Class 3,802.3at PoE+,802.3at PoE+,PoE 802.3af Class 3,,PoE 802.3af Class 3,PoE 802.3af Class 3,PoE 802.3af Class 3,PoE 802.3af Class 3,PoE 802.3af Class 3
Max. Power Consumption,6.5W,6.5W,7.5W,7.5W,16.1W,16.1W,15W,,8.5W,10.7W,9.7W,10.6W,12.4W
